name,gender,n_female,n_male
"Freeman, Rupert",M,0,5
"Janson, Svante",M,0,3
"Thompson, David",M,0,2
"Newman, Neil",M,0,2
"Leyton-Brown, Kevin",M,0,7
"Friedrich, Tobias",M,0,5
"Kotzing, Timo",M,0,2
"Wagner, Markus",M,0,2
"Wang, Yilin",M,0,5
"Wang, Suhang",M,0,6
"Tang, Jiliang",M,1,11
"Qi, Guojun",M,0,5
"Liu, Huan",M,1,7
"Li, Baoxin",M,0,5
"Huo, Zhouyuan",M,0,1
"Huang, Heng",M,2,8
"Szegedy, Christian",M,0,3
"Ioffe, Sergey",M,0,3
"Vanhoucke, Vincent",M,0,7
"Alemi, Alex",M,0,3
"Feuz, Kyle",M,1,0
"Cook, Diane",F,0,1
"Pan, Yangchen",F,1,3
"White, Adam",M,2,0
"White, Martha",F,1,8
"Pineda, Luis",M,0,2
"Wray, Kyle",M,0,2
"Zilberstein, Shlomo",M,0,2
"Tang, Wei",M,0,2
"Hua, Gang",M,4,8
"Wang, Liang",M,NA,NA
"Behnezhad, Soheil",M,1,7
"Dehghani, Sina",M,1,3
"Derakhshan, Mahsa",F,0,8
"Hajiaghayi, Mohammadtaghi",M,2,12
"Seddighin, Saeed",M,1,6
"Asuncion, Vernon",M,1,1
"Zhang, Yan",F,NA,NA
"Zhang, Heng",M,1,3
"Cheng, Kewei",F,0,3
"Li, Jundong",M,1,4
"Sun, Xiaoshuai",M,1,9
"Huang, Zi",F,NA,NA
"Yin, Hongzhi",M,NA,NA
"Shen, Heng Tao",M,NA,NA
"Cao, Jiewei",M,0,4
"Li, Chao",M,0,4
"Zhu, Lei",M,2,12
"Schofield, Michael",M,0,1
"Thielscher, Michael",M,0,1
"Oh, Sechan",M,0,0
"Ansotegui-Gil, Carlos",M,0,3
"Farreny, Josep Pon",M,0,3
"Sellmann, Meinolf",M,0,3
"Tierney, Kevin",M,0,3
"Im, Jiwoong",M,0,3
"Ahn, Sungjin",M,0,3
"Memisevic, Roland",M,0,3
"Bengio, Yoshua",M,NA,NA
"Shu, Chengxun",M,0,1
"Zhang, Hongyu",M,NA,NA
"Mao, Xian-Ling",NA,2,2
"Feng, Bosi",M,NA,NA
"Hao, Yijing",F,NA,NA
"Huang, Heyan",F,NA,NA
"Han, Xianpei",M,0,1
"Sun, Le",M,0,1
"Tu, Zhaopeng",M,2,6
"Shang, Lifeng",M,1,3
"Liu, Xiaohua",M,1,3
"Li, Hang",F,3,7
