name,gs_email,gender,country,sector,npubs,hindex,hindex5y,i10index,i10index5y,citedby,s2npubs
"Alizadeh, Mohammad",@csail.mit.edu,M,US,EDU,,,,,,,116
"Allalen, Momme",,M,,,,,,,,,11
"Allan, James",@cs.umass.edu,M,US,EDU,325,63,40,152,96,16525,507
"Allcock, William",,M,,,,,,,,,34
"Allen, Gabrielle Dawn",@illinois.edu,F,US,EDU,213,28,13,53,19,3451,
"Allen, Tyler",,M,,,,,,,,,8
"Allen-Bond, Michael R.",,M,US,EDU,,,,,,,1
"Allman, Mark",@icir.org,M,US,EDU,187,45,28,89,65,13847,168
"Allodi, Luca",@tue.nl,M,NL,EDU,31,6,6,6,6,178,26
"Almakhdhub, Naif Saleh",,M,,,,,,,,,2
"Almasi, Gheorghe",,M,,,,,,,,,
"Almeida, Francisco",@ull.edu.es,M,ES,EDU,143,17,10,33,13,1096,
"Almeida, José Bacelar",@di.uminho.pt,M,PT,EDU,61,15,11,19,11,514,63
"Almeida, Jussara",@dcc.ufmg.br,F,BR,EDU,341,39,32,100,78,7680,203
"Almgren, Ann",@lbl.gov,F,US,GOV,147,29,27,63,44,4465,68
"Almgren, Magnus",@chalmers.se,M,SE,EDU,58,13,11,14,12,629,37
"Almudever, Carmen G.",@tudelft.nl,F,NL,EDU,30,5,4,1,1,69,23
"Alonso, Gustavo",@inf.ethz.ch,M,CH,EDU,446,66,39,185,112,17909,291
"Alonso, Omar",@microsoft.com,M,,COM,161,22,20,37,30,2327,
"Alrwais, Sumayah",,F,SA,EDU,13,7,7,6,5,182,10
"Alshboul, Mohammad",@ncsu.edu,M,US,EDU,2,1,1,0,0,5,1
"Alshenibr, Leen",,F,US,EDU,,,,,,,2
"Alsop, Johnathan",@illinois.edu,M,US,EDU,8,3,3,2,2,39,20
"Alsudais, Azzam",@colorado.edu,M,US,EDU,1,0,0,0,0,0,3
"Alt, Samantha",,F,,COM,,,,,,,4
"Altaf, Muhammad Shoaib Bin",@cs.wisc.edu,M,US,EDU,7,2,2,1,1,1916,4
"Altayeva, Aigerim",,F,,,,,,,,,10
"Althoff, Tim",@cs.stanford.edu,M,US,EDU,23,8,8,7,7,292,
"Altingovde, Ismail Sengor",@ceng.metu.edu.tr,M,TR,EDU,82,16,16,29,22,793,
"Altintas, Ilkay",@sdsc.edu,F,US,EDU,135,25,20,53,36,5480,
"Altisen, Karine",@imag.fr,F,FR,EDU,66,13,9,15,7,863,47
"Altmann, Jorn",@acm.org,M,KR,EDU,178,23,17,55,30,2059,
"Altıntaş, Ervin",,M,FR,EDU,,,,,,,1
"Alur, Rajeev",@cis.upenn.edu,M,US,EDU,359,77,47,192,142,36696,300
"Aluru, Srinivas",@cc.gatech.edu,M,US,EDU,290,36,24,83,52,7272,191
"Alvares, Alberto Jose",,M,,COM,,,,,,,7
"Alvarez, Gonzalo P. Rodrigo",@cs.umu.se,M,SE,EDU,10,2,2,1,1,20,4
"Alvaro, Peter",@ucsc.edu,M,US,EDU,29,13,12,15,13,1626,41
"Alviano, Mario",@mat.unical.it,M,IT,EDU,57,14,13,18,17,621,59
"Alvisi, Lorenzo",@cs.cornell.edu,M,US,EDU,174,42,24,76,50,9423,162
"Alwen, Joel",,M,AT,EDU,,,,,,,38
"Amann, Johanna",,F,US,EDU,,,,,,,42
"Amano, Hideharu",@am.ics.keio.ac.jp,M,JP,EDU,758,31,21,119,44,4267,396
"Amaral, José Nelson",@ualberta.ca,M,CA,EDU,190,19,13,44,15,1559,119
"Amaral, Marcelo Carneiro Do",@ac.upc.edu,M,ES,GOV,12,5,5,2,2,60,30
"Amaral, Vasco",@fct.unl.pt,M,PT,EDU,164,20,16,35,24,1442,92
"Amarasinghe, Saman",@mit.edu,M,US,EDU,263,58,36,114,83,15798,77
"Amarilli, Antoine",@a3nm.net,M,FR,EDU,74,9,8,7,6,226,55
"Amarís, Marcos",@ime.usp.br,M,FR,EDU,13,2,2,0,0,8,7
"Amato, Nancy",@tamu.edu,F,US,EDU,400,47,32,140,92,8081,
"Ambrona, Miguel",,M,,,,,,,,,9
"Amer, Abdelhalim",@anl.gov,M,US,GOV,16,5,5,2,2,63,13
"Amer, Halim",@aurak.ac.ae,M,US,GOV,9,6,4,3,1,110,13
"Ames, Scott",,M,US,EDU,,,,,,,28
"Amigó, Enrique",@lsi.uned.es,M,ES,EDU,64,17,14,22,18,1546,
"Amin, Tanvir Al",@google.com,M,,COM,35,9,9,9,9,267,32
"Amini, Massih-Reza",@imag.fr,M,FR,EDU,157,21,13,35,21,1290,
"Amiri, Ardalan",@uci.edu,M,US,EDU,37,7,5,5,5,169,31
"Amit, Nadav",@vmware.com,M,,COM,13,6,6,5,5,302,13
"Ammar, Mostafa",@cc.gatech.edu,M,US,EDU,334,72,33,196,102,18241,
"Amorim, Luís Eduardo De Souza",,M,,,,,,,,,4
"Amrizal, Muhammad Alfian",,M,JO,EDU,,,,,,,3
"Amsterdamer, Yael",@biu.ac.il,F,IL,EDU,24,10,10,10,10,399,
"Amza, Cristiana",@ece.utoronto.ca,F,CA,EDU,88,24,17,35,24,3499,88
"An, Aijun",@cse.yorku.ca,F,CA,EDU,201,31,22,69,46,13128,
"An, Yujie",,M,US,EDU,8,2,2,0,0,11,3
"An, Zhenlin",@comp.polyu.edu.hk,M,HK,EDU,1,0,0,0,0,-1,1
"An, Zhongqi",,,,,,,,,,,1
"Anagnostopoulos, Aris",@dis.uniroma1.it,M,IT,EDU,56,19,18,25,21,2173,
"Anand, Saswat",@cs.stanford.edu,M,,COM,27,12,11,13,13,1221,30
"Ananthanarayanan, Ganesh",@microsoft.com,M,,COM,47,20,17,23,23,2046,39
"Anciaux, Nicolas",,M,,,,,,,,,
"Ancona, Davide",@unige.it,M,IT,EDU,160,22,14,53,23,1952,133
"Andelfinger, Philipp",@kit.edu,M,US,EDU,13,5,5,4,4,84,15
"Andersen, David G.",@cs.cmu.edu,M,US,EDU,167,49,39,84,75,11666,144
"Anderson, Daniel",,M,,,,,,,,,61
"Anderson, Michael R.",@dtu.dk,M,US,EDU,11,4,4,1,1,171,36
"Anderson, Thomas",@cs.washington.edu,M,US,EDU,347,87,50,149,113,40307,158
"Anderton, William C.",,M,,,,,,,,,2
"Ando, Shin",@rs.tus.ac.jp,M,JP,EDU,54,13,7,19,5,628,
