key,linked,unreleased,expired,badge,evaluated,location
SOSP_17_014,True,False,False,False,False,Other
SOSP_17_015,True,False,False,False,False,Other
SOSP_17_016,True,False,False,False,False,Academic
SOSP_17_017,True,False,False,False,False,Repository
SOSP_17_018,True,False,False,False,False,Repository
SOSP_17_019,True,False,False,False,False,Repository
SOSP_17_020,True,False,False,False,False,Repository
SOSP_17_021,True,False,True,False,False,Repository
SOSP_17_022,True,False,False,False,False,Repository
SOSP_17_024,True,False,False,False,False,Repository
SOSP_17_025,True,False,False,False,False,Repository
SOSP_17_026,False,False,False,False,False,Repository
SOSP_17_027,True,False,False,False,False,Repository
SOSP_17_028,False,False,False,False,False,Repository
SOSP_17_029,True,False,False,False,False,Repository
SOSP_17_030,True,False,False,False,False,Repository
SOSP_17_033,True,False,False,False,False,Repository
SOSP_17_037,True,False,False,False,False,Academic
IMC_17_002,True,False,False,False,False,Other
IMC_17_003,True,False,False,False,False,Academic
IMC_17_007,True,False,False,False,False,Other
IMC_17_008,True,False,False,False,False,Repository
IMC_17_009,True,False,False,False,False,Other
IMC_17_017,True,False,False,False,False,Repository
IMC_17_018,True,False,False,False,False,Repository
IMC_17_019,True,False,False,False,False,Academic
IMC_17_020,True,False,False,False,False,Repository
IMC_17_022,True,False,False,False,False,Other
IMC_17_025,True,False,False,False,False,Academic
IMC_17_028,True,False,False,False,False,Repository
SC_17_002,True,False,False,False,False,Repository
SC_17_004,True,False,False,False,False,Repository
SC_17_009,True,False,True,False,False,Academic
SC_17_010,True,False,False,False,False,Academic
SC_17_011,False,True,True,False,False,
SC_17_012,True,False,False,False,False,Repository
SC_17_015,True,False,False,False,False,Repository
SC_17_016,True,False,False,True,True,Repository
SC_17_017,True,False,False,False,False,Repository
SC_17_018,True,False,False,False,False,Academic
SC_17_019,True,False,False,False,False,Repository
SC_17_022,True,False,False,False,False,Repository
SC_17_024,True,False,False,False,False,Repository
SC_17_029,True,False,False,False,False,Repository
SC_17_030,True,False,False,False,False,Repository
SC_17_033,False,False,False,False,False,Repository
SC_17_037,True,False,False,False,False,Repository
SC_17_038,True,False,False,False,False,Repository
SC_17_039,True,False,False,False,False,Repository
SC_17_043,True,False,False,False,False,Academic
SC_17_044,True,False,False,False,False,Repository
SC_17_045,True,False,False,False,False,Repository
SC_17_047,True,False,True,False,False,Repository
SC_17_048,True,False,False,False,False,Repository
SC_17_049,True,False,False,False,False,ACM
SC_17_050,True,False,False,False,False,Repository
SC_17_053,True,False,True,False,False,Other
SC_17_054,True,False,False,False,False,Repository
SC_17_056,True,False,False,False,False,Repository
SC_17_060,True,False,False,False,False,Repository
Middleware_17_003,True,False,False,False,False,Repository
Middleware_17_004,True,False,False,False,False,Repository
Middleware_17_005,True,False,False,False,False,Other
Middleware_17_006,True,False,False,False,False,Repository
Middleware_17_009,True,False,False,False,False,Repository
Middleware_17_012,True,False,False,False,False,Repository
Middleware_17_015,True,False,False,False,False,Repository
Middleware_17_019,True,False,True,False,False,Other
CoNEXT_17_003,False,False,False,False,False,Repository
CoNEXT_17_006,True,False,False,False,False,Repository
CoNEXT_17_022,True,False,False,False,False,Other
HiPC_17_021,True,False,False,False,False,Repository
HiPC_17_036,True,False,False,False,False,Academic
HiPC_17_038,True,False,False,False,False,Repository
HPCC_17_002,True,False,False,False,False,Repository
HPCC_17_003,True,False,False,False,False,Repository
HPCC_17_011,True,False,False,False,False,Repository
HPCC_17_017,True,False,True,False,False,Academic
HPCC_17_019,True,False,True,False,False,Repository
HPCC_17_049,True,False,False,False,False,Repository
ICDM_17_001,True,False,False,False,False,Repository
ICDM_17_005,True,False,False,False,False,Academic
ICDM_17_006,True,False,False,False,False,Repository
ICDM_17_008,True,False,True,False,False,Other
ICDM_17_010,True,False,False,False,False,Repository
ICDM_17_012,True,False,False,False,False,Repository
ICDM_17_013,True,False,False,False,False,Repository
ICDM_17_015,True,False,False,False,False,Academic
ICDM_17_020,True,False,True,False,False,Filesharing
ICDM_17_021,True,False,False,False,False,Repository
ICDM_17_024,True,False,False,False,False,Repository
ICDM_17_026,True,False,True,False,False,Other
ICDM_17_028,False,False,False,False,False,Repository
ICDM_17_030,True,False,False,False,False,Academic
ICDM_17_032,True,False,False,False,False,Repository
ICDM_17_034,True,False,True,False,False,Filesharing
ICDM_17_035,True,False,False,False,False,Repository
ICDM_17_039,True,False,False,False,False,Repository
ICDM_17_042,True,False,False,False,False,Repository
ICDM_17_043,True,False,False,False,False,Repository
ICDM_17_044,True,False,False,False,False,Other
ICDM_17_048,True,False,True,False,False,Filesharing
ICDM_17_050,True,False,False,False,False,Repository
ICDM_17_051,True,False,False,False,False,Repository
ICDM_17_053,True,False,False,False,False,Academic
ICDM_17_056,True,False,False,False,False,Repository
ICDM_17_057,True,False,False,False,False,Repository
ICDM_17_058,True,False,False,False,False,Repository
ICDM_17_059,True,False,False,False,False,Academic
KDD_17_001,True,False,False,False,False,Academic
KDD_17_002,True,False,False,False,False,Repository
KDD_17_004,True,False,False,False,False,Repository
KDD_17_005,False,False,False,False,False,Repository
KDD_17_007,True,False,False,False,False,Repository
KDD_17_008,True,False,False,False,False,Repository
KDD_17_009,True,False,False,False,False,Academic
KDD_17_012,False,False,False,False,False,Repository
KDD_17_014,True,False,False,False,False,Repository
KDD_17_017,True,False,False,False,False,Academic
KDD_17_021,True,False,False,False,False,Repository
KDD_17_023,True,False,False,False,False,Repository
KDD_17_026,True,False,False,False,False,Academic
KDD_17_028,True,False,False,False,False,Repository
KDD_17_030,True,False,False,False,False,Repository
KDD_17_031,True,False,False,False,False,Repository
KDD_17_032,True,False,False,False,False,Other
KDD_17_036,True,False,True,False,False,Academic
KDD_17_037,True,False,False,False,False,Repository
KDD_17_041,False,False,False,False,False,Repository
KDD_17_042,True,False,False,False,False,Repository
KDD_17_043,True,False,True,False,False,Academic
KDD_17_045,True,False,False,False,False,Repository
KDD_17_046,True,False,False,False,False,Repository
KDD_17_047,True,False,False,False,False,Repository
KDD_17_049,True,False,False,False,False,Repository
KDD_17_050,True,False,False,False,False,Repository
KDD_17_055,True,False,False,False,False,Repository
KDD_17_056,True,False,False,False,False,Repository
KDD_17_057,False,False,False,False,False,Repository
KDD_17_062,True,False,False,False,False,Other
KDD_17_063,True,False,True,False,False,Academic
SIGIR_17_002,True,False,False,False,False,Filesharing
SIGIR_17_003,True,False,False,False,False,Other
SIGIR_17_004,True,False,False,False,False,Repository
SIGIR_17_005,True,False,False,False,False,Repository
SIGIR_17_009,False,False,False,False,False,Repository
SIGIR_17_011,True,False,True,False,False,Academic
SIGIR_17_022,True,False,False,False,False,Academic
SIGIR_17_026,True,False,False,False,False,Repository
SIGIR_17_033,True,False,False,False,False,Other
SIGIR_17_036,True,False,False,False,False,Repository
SIGIR_17_045,True,False,False,False,False,Repository
SIGIR_17_046,True,False,False,False,False,Repository
